# DECISIONS: include | maybe | exclude,,,,,,
# EXCLUSION REASONS: population (not consciousness-relevant) ; exposure (no quantitative complexity measure) ; data (no neural recording) ; publication-type (editorial/protocol/non-study) ; not-retrievable ; other,,,,,,
# Screen BLIND to Elicit. Fill my_decision for every row; add my_primary_exclusion_reason only when excluding.,,,,,,
pmid,title,journal,year,abstract,my_decision,my_primary_exclusion_reason
17945960,Comparison of the properties of EEG spindles in sleep and propofol anesthesia.,Conference proceedings : ... Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual Conference,2006,"Electroencephalogram spindle patterns corresponding to two different phenomena-natural sleep and propofol anesthesia-are compared. The spindles are extracted from 5 overnight sleep recordings and 10 recordings of deep propofol anesthesia. Mean frequency, angle of the trend in instant frequency as well as 3 nonlinear parameters-spectral entropy, approximate entropy, and Higuchi fractal dimension- are calculated to characterize the spindle waveforms. Using the Wilcoxon rank sum test with significance level of 0.01, all the mentioned features, except approximate entropy, differ significantly for the two types of EEG spindles.",include,
18487047,Sellar xanthogranuloma manifesting as obstructive hydrocephalus.,Journal of clinical neuroscience : official journal of the Neurosurgical Society of Australasia,2008,"Xanthogranuloma of the sellar region is rare. It typically causes symptoms of pituitary dysfunction or visual change due to compression of the optic chiasm. However, to the best of our knowledge, no case of xanthogranuloma-associated hydrocephalus has been documented in the literature. This study describes a 32-year-old man afflicted with xanthogranuloma of the sellar region who presented with acute change in consciousness and associated obstructive hydrocephalus. A literature review and discussion regarding therapeutic options for this condition are presented.",exclude,"No consciousness relevance, no complexity measures and no neural data"
18686072,Cystothecostomy: a new technique to treat long segment spinal extradural arachnoid cyst.,British journal of neurosurgery,2008,"Pathogenesis and treatment of the spinal arachnoid cyst has not been well established. A novel method of treatment of a long segment spinal arachnoid cyst is being presented in a 9-year-old boy. He presented to us with a slowly progressive spastic paraparesis. MRI revealed dorsal epidural arachnoid cyst extending from T7 vertebral body to L1 body producing marked cord compression. In order to save the child from a long segment laminectomy or laminoplasty, a new minimally invasive technique was devised. In this technique L1 laminectomy was performed under local anaesthesia, and the cyst was communicated to thecal sac by making an interconnecting stoma. We named this procedure as cystothecostomy. There was gradual neurological recovery after the procedure.",exclude,"No consciousness relevance, no complexity measures and no neural data"
18823234,Theta phase synchrony and conscious target perception: impact of intensive mental training.,Journal of cognitive neuroscience,2009,"The information processing capacity of the human mind is limited, as is evidenced by the attentional blink-a deficit in identifying the second of two targets (T1 and T2) presented in close succession. This deficit is thought to result from an overinvestment of limited resources in T1 processing. We previously reported that intensive mental training in a style of meditation aimed at reducing elaborate object processing, reduced brain resource allocation to T1, and improved T2 accuracy [Slagter, H. A., Lutz, A., Greischar, L. L., Francis, A. D., Nieuwenhuis, S., Davis, J., et al. Mental training affects distribution of limited brain resources. PloS Biology, 5, e138, 2007]. Here we report EEG spectral analyses to examine the possibility that this reduction in elaborate T1 processing rendered the system more available to process new target information, as indexed by T2-locked phase variability. Intensive mental training was associated with decreased cross-trial variability in the phase of oscillatory theta activity after successfully detected T2s, in particular, for those individuals who showed the greatest reduction in brain resource allocation to T1. These data implicate theta phase locking in conscious target perception, and suggest that after mental training the cognitive system is more rapidly available to process new target information. Mental training was not associated with changes in the amplitude of T2-induced responses or oscillatory activity before task onset. In combination, these findings illustrate the usefulness of systematic mental training in the study of the human mind by revealing the neural mechanisms that enable the brain to successfully represent target information.",include,
18990620,Detrended fluctuation analysis of intracranial pressure predicts outcome following traumatic brain injury.,IEEE transactions on bio-medical engineering,2008,"Detrended fluctuation analysis (DFA) is a recently developed technique suitable for describing scaling behavior of variability in physiological signals. The purpose of this study is to explore applicability of DFA methods to intracranial pressure (ICP) signals recorded in patients with traumatic brain injury (TBI). In addition to establishing the degree of fit of the power-law scaling model of detrended fluctuations of ICP in TBI patients, we also examined the relationship of DFA coefficients (scaling exponent and intercept) to: 1) measures of initial neurological functioning; 2) measures of functional outcome at six month follow-up; and 3) measures of outcome, controlling for patient characteristics, and initial neurological status. In a sample of 147 moderate-to-severely injured TBI patients, we found that a higher DFA scaling exponent is significantly associated with poorer initial neurological functioning, and that lower DFA intercept and higher DFA scaling exponent jointly predict poorer functional outcome at six month follow-up, even after statistical control for covariates reflecting initial neurological condition. DFA describes properties of ICP signal in TBI patients that are associated with both initial neurological condition and outcome at six months postinjury.",exclude,"No consciousness relevance and no neural data, but uses a nonlinear measure DFA"
20421793,Artefact in the electroencephalographic monitoring in a patient with brain metastasis.,European journal of anaesthesiology,2010,"This European Journal of Anaesthesiology correspondence reports that EEG index monitors can produce inaccurate, low-value readings in patients with focal brain metastasis due to tumor-induced, low-amplitude slow waves being misinterpreted as deep anesthesia. Authors conclude that in patients with cerebral lesions, clinicians must obtain pre-induction baselines and verify findings with dual-hemispheric monitoring to interpret these values accurately.",maybe,
20626893,Investigating the synchronization of hippocampal neural network in response to acute nicotine exposure.,Journal of neuroengineering and rehabilitation,2010,"Previous studies suggested that gamma oscillations in the brain are associated with higher order cognitive function including selective visual attention, motor task planning, sensory perception, working memory and dreaming REM sleep. These oscillations are mainly observed in cortical regions and also occur in neocortical and subcortical areas and the hippocampus. In this paper, we investigate the influence of acute exposure to nicotine on the complexity of hippocampal gamma oscillations.Using the approximate entropy method, the influence of acute nicotine exposure on the hippocampal gamma oscillations was investigated. The hippocampal gamma oscillations have been generated in response to the 100 Hz stimulus and isolated using the visual inspection and spectral analysis method. Our central hypothesis is that acute exposure to nicotine significantly reduces the complexity of hippocampal gamma oscillations. We used brain-slice recordings and the approximate entropy method to test this hypothesis. The approximate entropy (complexity) values of the hippocampal gamma oscillations are estimated from the 14 hippocampal slices. Our results show that it takes at least 100 msec to see any hippocampal activities in response to the 100 Hz stimulus. These patterns noticeably changed after 100 msec until 300 msec after the stimulus Finally, they were less prominent after 300 msec. We have analyzed the isolated hippocampal gamma oscillations (between 150 and 250 msec after the stimulus) using the approximate entropy (ApEn) method. Our results showed that the ApEn (complexity) values of hippocampal gamma oscillations during nicotine exposure were reduced compared to those of hippocampal gamma oscillations during control, and washout. This reduction was much more significant in response to acute nicotine exposure (p < 0.05) compared to those during control and washout conditions. These results suggest that the neural firing becomes regular and the hippocampal networks become synchronized in response to nicotine exposure.",exclude,No consciousness relevance
20633658,Fractal-dimension analysis detects cerebral changes in preterm infants with and without intrauterine growth restriction.,NeuroImage,2010,"In the search for a useful parameter to detect and quantify subtle brain abnormalities in infants with intrauterine growth restriction (IUGR), we hypothesised that the analysis of the structural complexity of grey matter (GM) and white matter (WM) using the fractal dimension (FD), a measurement of the topological complexity of an object, could be established as a useful tool for quantitative studies of infant brain morphology. We studied a sample of 18 singleton IUGR premature infants, (12.72 months corrected age (CA), range: 12 months-14 months), 15 preterm infants matched one-to-one for gestational age (GA) at delivery (12.6 months; range: 12 months-14 months), and 15 neonates born at term (12.4 months; range: 11 months-14 months). The neurodevelopmental outcome was assessed in all subjects at 18 months CA according to the Bayley Scale for Infant and Toddler Development - Third edition (BSID-III). For MRI acquisition and processing, the infants were scanned at 12 months CA, in a TIM TRIO 3T scanner, sleeping naturally. Images were pre-processed using the SPM5 toolbox, the GM and WM segmented under the VBM5 toolbox, and the box-counting method was applied for FD calculation of normal and skeletonized segmented images. The results showed a significant decrease of the FD of the brain GM and WM in the IUGR group when compared to the preterm or at-term controls. We also identified a significant linear tendency of both GM and WM FD from IUGR to preterm and term groups. Finally, multiple linear analyses between the FD of the GM or WM and the neurodevelopmental scales showed a significant regression of the language and motor scales with the FD of the GM. In conclusion, a decreased FD of the GM and WM in IUGR infants could be a sensitive indicator for the investigation of structural brain abnormalities in the IUGR population at 12 months of age, which can also be related to functional disorders.",exclude,No consciousness relevance and no neural data
20634711,Mutual information analysis of EEG signals indicates age-related changes in cortical interdependence during sleep in middle-aged versus elderly women.,Journal of clinical neurophysiology : official publication of the American Electroencephalographic Society,2010,"Elderly subjects exhibit declining sleep efficiency parameters with longer time spent awake at night and greater sleep fragmentation. In this article, we report on the changes in cortical interdependence during sleep stages between 15 middle-aged (range: 42-50 years) and 15 elderly (range: 71-86 years) women subjects. Cortical interdependence assessed from EEG signals typically exhibits increasing levels of correlation because human subjects progress from wake to deeper stages of sleep. EEG signals acquired from previously existing polysomnogram datasets were subjected to mutual information analysis to detect changes in information transmission associated with change in sleep stage and to understand how age affects the interdependence values. We observed a significant reduction in the interdependence between central EEG signals of elderly subjects in nonrapid eye movement and rapid eye movement stage sleep in comparison with middle-aged subjects (age group effect: elderly versus middle aged P < 0.001, sleep stage effect: P < 0.001, interaction effect between age group and sleep stage: P = 0.007). A narrowband analysis revealed that the reduction in mutual information was present in delta, theta, and sigma frequencies. These findings suggest that the lowered cortical interdependence in sleep of elderly subjects may indicate independently evolving dynamic neural activities at multiple cortical sites. The loss of synchronization between neural activities during sleep in the elderly may make these women more susceptible to localized disturbances that could lead to frequent arousals.",include,
20644418,Microvascular decompression in the treatment of trigeminal neuralgia caused by vertebrobasilar ectasia.,Neurosurgery,2010,"BACKGROUND: Vertebrobasilar ectasia (VBE) is a rare cause of trigeminal neuralgia (TN). It occurs in about 2% of all patients. OBJECTIVE: This study reviewed the clinical features, radiological concomitants, and surgical findings of VBE and evaluate the microsurgical decompression procedure as a surgical line of treatment of the associated TN. METHODS: Ten patients with TN caused by VBE and treated by microvascular decompression are the subject of this study. The study consisted of 6 men and 4 women with a mean age of 54 years. The mean duration of symptoms was 4.5 years. TN was the only symptom in 6 patients; it was associated with hemifacial spasm in 4. Arterial hypertension was present in 6 patients. Multiplanar high-resolution magnetic resonance imaging showed the accurate location and course of the ectatic vessel. Magnetic resonance angiography and digital subtraction angiography confirmed the diagnosis. Surgery demonstrated fifth nerve compression by an ectatic and tortuous vertebrobasilar artery in all cases and seventh nerve compression in 4 cases. Teflon felt was placed between the ectatic artery and compressed nerves. RESULTS: There was complete resolution of TN in 8 patients (80%) and hemifacial spasm in 3 (75%) without medication. Four of 6 hypertensive patients (66.7%) achieved normotension without medication. There was no recurrence of symptoms in the mean follow-up period of 7.8 years. CONCLUSION: Microvascular decompression is recommended for the treatment of TN caused by VBE if medical treatment has failed, if the patient is suitable for general anesthesia, and if there is evidence of vascular compression of the trigeminal nerve on magnetic resonance imaging.",exclude,"No consciousness relevance, no complexity measures and no neural data"
21145644,Dissociative states and neural complexity.,Brain and cognition,2011,"Recent findings indicate that neural mechanisms of consciousness are related to integration of distributed neural assemblies. This neural integration is particularly vulnerable to past stressful experiences that can lead to disintegration and dissociation of consciousness. These findings suggest that dissociation could be described as a level of neural disintegration reflecting a number of independent processes by means of neural complexity. In the present study measurement of dissociation, traumatic stress symptoms and neural complexity calculated using nonlinear analysis of EEG [during rest conditions], and electrodermal activity (EDA) [during rest and Stroop task] were performed in 52 university students (mean age 24.1). Neural complexity has been described using pointwise correlation dimension (PD2) calculated from EEG and EDA records. While no significant relationship was found between EEG complexity and dissociative symptoms, statistically significant relationship between EDA complexity and dissociative symptoms during rest, but not during the Stroop task, has been found. These results indicate that electrodermal complexity during rest may reflect a level of dissociative symptoms.",include,
21705870,Performance of anesthetic depth indexes in rabbits under propofol anesthesia: prediction probabilities and concentration-effect relations.,Anesthesiology,2011,"BACKGROUND: The permutation entropy, the approximate entropy, and the index of consciousness are some of the most recently studied electroencephalogram-derived indexes. In this work, a thorough comparison of these indexes was performed using propofol anesthesia in a rabbit model. METHODS: Six rabbits were anesthetized with three propofol infusion rates: 70, 100, and 130 mg · kg⁻¹ · h⁻¹, each maintained for 30 min, in a random order for each animal. Data recording was performed in the awake animals 20, 25, and 30 min after each infusion rate was begun in the recovered animals and consisted of electroencephalogram recordings, evaluation of depth of anesthesia according to a clinical scale, and arterial blood samples for plasma propofol determination. Median and spectral edge frequencies were analyzed for single-scale permutation entropy and composite multiscale permutation entropy, approximate entropy, index of consciousness, and the spectral parameters. The spectral parameters and single-scale and multiscale permutation entropies were corrected for the presence of burst suppression. Performance of the indexes was compared by prediction probability and pharmacodynamic analysis. RESULTS: The single-scale and composite multiscale permutation entropies with a burst suppression correction showed better prediction probabilities than did the other electroencephalogram-derived parameters but not better than the electromyographic activity. CONCLUSION: Single-scale and multiscale permutation entropies may be promising measures of propofol anesthetic depth when corrected for burst suppression. Additional studies should investigate the information measured by electromyography algorithms from commercial monitors of anesthetic depth. The rabbit may be a promising animal model for electroencephalographic studies because it provides a good-quality signal.",include,
21911417,The effect of striatal dopaminergic grafts on the neuronal activity in the substantia nigra pars reticulata and subthalamic nucleus in hemiparkinsonian rats.,Brain : a journal of neurology,2011,"The electrophysiological correlates of parkinsonism in the basal ganglia have been well studied in patients with Parkinson's disease and animal models. Separately, striatal dopaminergic cell transplantation has shown promise in ameliorating parkinsonian motor symptoms. However, the effect of dopaminergic grafts on basal ganglia electrophysiology has not thoroughly been investigated. In this study, we transplanted murine foetal ventral mesencephalic cells into rats rendered hemiparkinsonian by 6-hydroxydopamine injection. Three months after transplantation, extracellular and local field potential recordings were taken under urethane anaesthesia from the substantia nigra pars reticulata and subthalamic nucleus along with cortical electroencephalograms and were compared to recordings from normal and hemiparkinsonian controls. Recordings from cortical slow-wave activity and global activation states were analysed separately. Rats with histologically confirmed xenografts showed behavioural improvement measured by counting apomorphine-induced rotations and with the extended body axis test. Firing rates in both nuclei were not significantly different between control and grafted groups. However, burst firing patterns in both nuclei in the slow-wave activity state were significantly reduced (P < 0.05) in rats with large surviving grafts, compared to hemiparkinsonian controls. The neuronal firing entropies and oscillations in both nuclei were restored to normal levels in the large-graft group. Electroencephalogram spike-triggered averages also showed normalization in the slow-wave activity state (P < 0.05). These results suggest that local continuous dopaminergic stimulation exerts a normalizing effect on the downstream parkinsonian basal ganglia firing patterns. This novel finding is relevant to future preclinical and clinical investigations of cell transplantation and the development of next-generation therapies for Parkinson's disease that ameliorate pathophysiological neural activity and provide optimal recovery of function.",exclude,No consciousness relevance
22255311,Monitoring the depth of anesthesia from rat EEG using modified Shannon entropy analysis.,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,2011,"In this paper, an entropy based method for quantifying the depth of anesthesia from rat EEG is presented. The proposed index for the depth of anesthesia called modified Shannon entropy (MShEn) is based on Shannon entropy (ShEn) and spectral entropy (SpEn) which are widely used for analyzing non-stationary signals. Discrimination power (DP), as a performance indicator for indexes, is defined and used to derive the final index for the depth of anesthesia. For experiment, EEG from anesthetized rats are measured and analyzed by using MShEn. MShEn shows both high stability and high correlation with other indexes for depth of anesthesia.",include,
22427847,Visual feature integration indicated by pHase-locked frontal-parietal EEG signals.,PloS one,2012,"The capacity to integrate multiple sources of information is a prerequisite for complex cognitive ability, such as finding a target uniquely identifiable by the conjunction of two or more features. Recent studies identified greater frontal-parietal synchrony during conjunctive than non-conjunctive (feature) search. Whether this difference also reflects greater information integration, rather than just differences in cognitive strategy (e.g., top-down versus bottom-up control of attention), or task difficulty is uncertain. Here, we examine the first possibility by parametrically varying the number of integrated sources from one to three and measuring phase-locking values (PLV) of frontal-parietal EEG electrode signals, as indicators of synchrony. Linear regressions, under hierarchical false-discovery rate control, indicated significant positive slopes for number of sources on PLV in the 30-38 Hz, 175-250 ms post-stimulus frequency-time band for pairs in the sagittal plane (i.e., F3-P3, Fz-Pz, F4-P4), after equating conditions for behavioural performance (to exclude effects due to task difficulty). No such effects were observed for pairs in the transverse plane (i.e., F3-F4, C3-C4, P3-P4). These results provide support for the idea that anterior-posterior phase-locking in the lower gamma-band mediates integration of visual information. They also provide a potential window into cognitive development, seen as developing the capacity to integrate more sources of information.",maybe,
22558506,Percutaneous aspiration of lumbar zygapophyseal joint synovial cyst under fluoroscopic guidance -A case report-.,Korean journal of anesthesiology,2012,"A 51-year-old man with a 1-month history of lower back pain and radiating pain visited to our pain clinic. A magnetic resonance imaging (MRI) scan demonstrated a cyst like mass at the level of the L4-5 interspace and compression of the thecal sac and the nerve root on the right side. We performed percutaneous needle aspiration of the lumbar zygapophyseal joint synovial cyst under fluoroscopic guidance. The patient felt an immediate relief of symptoms after the aspiration, and had no signs or symptoms of recurrence at the follow-up 6 months later. No demonstrable lesion was found in the 6 months follow-up MRI.",exclude,"No consciousness relevance, no complexity measures and no neural data"
22784904,Percutaneous vertebroplasty for symptomatic osteoporotic vertebral compression fracture adjacent to lumbar instrumented circumferential fusion.,Orthopedics,2012,"The purpose of this study was to evaluate the efficacy and safety of percutaneous vertebroplasty for patients with symptomatic osteoporotic vertebral compression fractures adjacent to lumbar instrumented circumferential fusion. Between January 2005 and June 2010, eighteen patients in the authors' institution with lumbar instrumented circumferential fusion had adjacent symptomatic osteoporotic vertebral compression fractures. The patients received percutaneous vertebroplasty using polymethylmethacrylate bone cement augmentation. Radiographs and magnetic resonance imaging were used. The visual analog pain scale and modified Brodsky's criteria were used to compare clinical outcomes pre- and postoperatively. Minimum follow-up was 18 months. Dual-energy x-ray absorptiometry scan confirmed osteoporosis in all patients. The average interval between fusion surgery and sustaining osteoporotic vertebral compression fractures was 24.8 months. The average interval between sustaining osteoporotic vertebral compression fractures and undergoing percutaneous vertebroplasty was 49.3 days. One-level percutaneous vertebroplasty was performed in 13 patients, and 2 levels were performed in 5 patients. The patients' visual analog pain scale scores improved by an average of 53 points postoperatively. Fifteen patients returned to preinjury activities of daily living. The average restoration of the fractured vertebral body height was 12.1%. No major surgery-related complications, occurred except asymptomatic cement leakage in 3 patients. Elderly patients undergoing lumbar instrumented fusion surgery should be aware of the possibility of adjacent vertebral compression fractures. Percutaneous vertebroplasty is a minimally invasive and effective procedure to treat such adjacent segment disease.",exclude,"No consciousness relevance, no complexity measures and no neural data"
22996869,Percutaneous osteoplasty for the treatment of a painful osteochondral lesion of the talus: a case report and literature review.,Pain physician,2012,"An osteochondral lesion of the talus (OLT) is a lesion involving the talar articular cartilage and its subchondral bone. OLT is a known cause of chronic ankle pain after ankle sprains in the active population. The lesion causes deep ankle pain associated with weight-bearing, impaired function, limited range of motion, stiffness, catching, locking, and swelling. There are 2 common patterns of OLTs. Anterolateral talar dome lesions result from inversion and dorsiflexion injuries of the ankle at the area impacting against the fibula. Posteromedial lesions result from inversion, plantar flexion, and external rotation injuries of the ankle at the area impacting against the tibial ceiling of the ankle joint. Early diagnosis of an OLT is particularly important because the tibiotalar joint is exposed to more compressive load per unit area than any other joint in the body. Failure of diagnosis can lead to the evolution of a small, stable lesion into a larger lesion or an unstable fragment, which can result in chronic pain, joint instability, and premature osteoarthritis. A 43-year-old man, with a history of ankle sprain one year previously, visited our pain clinic for continuous right ankle pain after walking or standing for more than 30 minutes. There was a focal tenderness on the posteromedial area of the right talus. Imaging studies revealed a posteromedial OLT classified as having a geode form according to the FOG (fractures, osteonecroses, geodes) radiological classification and categorized as a stage 2a lesion on magnetic resonance imaging. The patient was scheduled for aspiration and osteoplasty with hydroxyapatite under arthroscopic and fluoroscopic guidance. A 26-gauge needle was inserted to infiltrate local anesthetics into the skin over the cyst and ankle joint. An arthroscope was placed into the joint to approach the OLT. The arthroscopic view showed that there was no connection between the OLT and the cyst of the talus body. A 13-gauge bone biopsy needle was inserted into the cyst, and aspiration was performed. Aspirated fluid from the cyst was originally white and clear; however, it changed to a blood-tinged, reddish color due to mixing with the incisional blood. After aspiration, contrast medium was injected, and the shape of the spread was observed. Bone cement comprising hydroxyapatite was injected to fill the bone defect of the cyst. A 1.5 mL volume of cement was injected into the talus under vigilant fluoroscopic and arthroscopic monitoring to prevent its dissemination into the joint. There was no cement leakage into the vessels or articular space. Postoperative fluoroscopy and computed tomography images showed bone cement filling of the defect. In the present case, arthroscopic and fluoroscopic guidance was used for aspiration of an OLT and for performing percutaneous osteoplasty with hydroxyapatite for one defect; this treatment decreased pain upon weight bearing and enabled a return to work without any restrictions one week after the procedure. The purpose of this report was to highlight the presence of OLT in chronic ankle pain and to review its management strategies.",exclude,"No consciousness relevance, no complexity measures and no neural data"
23185007,Hubs of brain functional networks are radically reorganized in comatose patients.,Proceedings of the National Academy of Sciences of the United States of America,2012,"Human brain networks have topological properties in common with many other complex systems, prompting the following question: what aspects of brain network organization are critical for distinctive functional properties of the brain, such as consciousness? To address this question, we used graph theoretical methods to explore brain network topology in resting state functional MRI data acquired from 17 patients with severely impaired consciousness and 20 healthy volunteers. We found that many global network properties were conserved in comatose patients. Specifically, there was no significant abnormality of global efficiency, clustering, small-worldness, modularity, or degree distribution in the patient group. However, in every patient, we found evidence for a radical reorganization of high degree or highly efficient ""hub"" nodes. Cortical regions that were hubs of healthy brain networks had typically become nonhubs of comatose brain networks and vice versa. These results indicate that global topological properties of complex brain networks may be homeostatically conserved under extremely different clinical conditions and that consciousness likely depends on the anatomical location of hub nodes in human brain networks.",include,
23555220,Neuronal avalanches differ from wakefulness to deep sleep--evidence from intracranial depth recordings in humans.,PLoS computational biology,2013,"Neuronal activity differs between wakefulness and sleep states. In contrast, an attractor state, called self-organized critical (SOC), was proposed to govern brain dynamics because it allows for optimal information coding. But is the human brain SOC for each vigilance state despite the variations in neuronal dynamics? We characterized neuronal avalanches--spatiotemporal waves of enhanced activity--from dense intracranial depth recordings in humans. We showed that avalanche distributions closely follow a power law--the hallmark feature of SOC--for each vigilance state. However, avalanches clearly differ with vigilance states: slow wave sleep (SWS) shows large avalanches, wakefulness intermediate, and rapid eye movement (REM) sleep small ones. Our SOC model, together with the data, suggested first that the differences are mediated by global but tiny changes in synaptic strength, and second, that the changes with vigilance states reflect small deviations from criticality to the subcritical regime, implying that the human brain does not operate at criticality proper but close to SOC. Independent of criticality, the analysis confirms that SWS shows increased correlations between cortical areas, and reveals that REM sleep shows more fragmented cortical dynamics.",include,
23618036,11 cm Haughton D left cervical aortic arch aneurysm.,Journal of cardiothoracic surgery,2013,"A 56 year old Caucasian man presented with sudden loss of consciousness while driving and was found to have an 11 cm Haughton D type left cervical aortic arch aneurysm with normal brachiocephalic branching and normal descending thoracic laterality but with considerable tortuosity and redundancy of aortic arch. The aneurysm arose between the left common carotid artery and the left subclavian artery. It compressed and stretched the left common carotid artery, compressed the pulmonary trunk and the left pulmonary artery, stretched the vagus, left recurrent laryngeal and left phrenic nerves and caused extreme deviation of trachea, severely compromising the tracheal lumen. Patient underwent successful interposition graft replacement of distal aortic arch under total circulatory arrest and selective unihemispherical cerebral perfusion.",exclude,"No consciousness relevance, no complexity measures and no neural data"
23702467,Thoracoscopic resection of a giant teratoma compressing the right heart.,Interactive cardiovascular and thoracic surgery,2013,"A 26-year old female had an incidental finding of a cystic mediastinal mass (10.8 × 9.4 × 10.0 cm) in the inferior-anterior mediastinum. It had compressed the superior vena cava, right atrium and right ventricle, and additional imaging studies could not exclude right heart involvement. She underwent exploration via right thoracoscopy (video-assisted thoracoscopy), and the right groin vessels were isolated for bypass, if needed. Examination of the mass revealed its extrapericardial origin from the thymus. Complete resection was achieved with minimally invasive techniques through a 2.5-cm incision using a three-port approach. She was discharged on postoperative day one. The interdisciplinary planning and cooperation in this case avoided thoracotomy or sternotomy and allowed for a safe and complete minimally invasive resection.",exclude,"No consciousness relevance, no complexity measures and no neural data"
24013572,Reconfiguration of network hub structure after propofol-induced unconsciousness.,Anesthesiology,2013,"INTRODUCTION: General anesthesia induces unconsciousness along with functional changes in brain networks. Considering the essential role of hub structures for efficient information transmission, the authors hypothesized that anesthetics have an effect on the hub structure of functional brain networks. METHODS: Graph theoretical network analysis was carried out to study the network properties of 21-channel electroencephalogram data from 10 human volunteers anesthetized on two occasions. The functional brain network was defined by Phase Lag Index, a coherence measure, for three states: wakefulness, loss of consciousness induced by the anesthetic propofol, and recovery of consciousness. The hub nodes were determined by the largest centralities. The correlation between the altered hub organization and the phase relationship between electroencephalographic channels was investigated. RESULTS: Topology rather than connection strength of functional networks correlated with states of consciousness. The average path length, clustering coefficient, and modularity significantly increased after administration of propofol, which disrupted long-range connections. In particular, the strength of hub nodes significantly decreased. The primary hub location shifted from the parietal to frontal region, in association with propofol-induced unconsciousness. The phase lead of frontal to parietal regions in the α frequency band (8-13 Hz) observed during wakefulness reversed direction after propofol and returned during recovery. CONCLUSIONS: Propofol reconfigures network hub structure in the brain and reverses the phase relationship between frontal and parietal regions. Changes in network topology are more closely associated with states of consciousness than connectivity and may be the primary mechanism for the observed loss of frontal to parietal feedback during general anesthesia.",include,
24015222,Characterizing Alzheimer's disease severity via resting-awake EEG amplitude modulation analysis.,PloS one,2013,"Changes in electroencephalography (EEG) amplitude modulations have recently been linked with early-stage Alzheimer's disease (AD). Existing tools available to perform such analysis (e.g., detrended fluctuation analysis), however, provide limited gains in discriminability power over traditional spectral based EEG analysis. In this paper, we explore the use of an innovative EEG amplitude modulation analysis technique based on spectro-temporal signal processing. More specifically, full-band EEG signals are first decomposed into the five well-known frequency bands and the envelopes are then extracted via a Hilbert transform. Each of the five envelopes are further decomposed into four so-called modulation bands, which were chosen to coincide with the delta, theta, alpha and beta frequency bands. Experiments on a resting-awake EEG dataset collected from 76 participants (27 healthy controls, 27 diagnosed with mild-AD, and 22 with moderate-AD) showed significant differences in amplitude modulations between the three groups. Most notably, i) delta modulation of the beta frequency band disappeared with an increase in disease severity (from mild to moderate AD), ii) delta modulation of the theta band appeared with an increase in severity, and iii) delta modulation of the beta frequency band showed to be a reliable discriminant feature between healthy controls and mild-AD patients. Taken together, it is hoped that the developed tool can be used to assist clinicians not only with early detection of Alzheimer's disease, but also to monitor its progression.",exclude,No consciousness relevance
24111180,Circadian variation of scalp EEG: a novel measure based on wavelet packet transform and differential entropy.,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,2013,"We propose a novel entropy-based measure to quantify the circadian variations of scalp electroencephalogram (EEG) by analyzing waking epochs of nap opportunities under an ultradian sleep-wake cycle (USW) protocol. To compute this circadian measure for a nap opportunity, each waking epoch (~1 sec) is decomposed using wavelet packet transform and the relative energy for the desired frequency band (here, 10-12 Hz) is calculated. Then, in a bootstrapping procedure, a shape statistic (skewness or kurtosis) of the relative energy distribution, after each resampling, is computed. Finally, the probability density function of this statistic is estimated, and the corresponding differential entropy is considered as the circadian measure. This measure was evaluated using EEG recordings from 4 healthy subjects during a 72-h USW procedure. According to the results, the proposed measure showed a significant circadian variation both for individual and group data, with peak values occurring near the core body temperature minimum. The performance of the entropy-based measure was also compared with that of two other measures, namely mean energy logarithm and mean energy ratio, revealing the superiority of this measure.",include,
24148338,Spontaneous spinal epidural haematoma. A case report.,The neuroradiology journal,2010,"Spinal epidural haematomas are infrequent events caused mainly by trauma or are iatrogenic following invasive spinal procedures (lumbar puncture, surgery or peridural anaesthesia). Spontaneous spinal epidural haematoma is a rare entity requiring emergency intervention in most cases. The incidence is estimated at about two to six cases per year. Early recognition, accurate diagnosis and rapid treatment may result in decreased morbidity and improved outcome. Here, we describe the case of a 60-year-old man who presented sudden paraplegia. Magnetic resonance imaging of thoracolumbar spine demonstrated an epidural mass extending from T11 to L1, causing spinal cord compression. Emergent decompressive surgery was performed and the patient had a significant improvement of neurologic deficits.",exclude,"No consciousness relevance, no complexity measures and no neural data"
